"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.450557000E-3,8.501100540E0,1.016949654E0,4.442873478E0
2.447948700E-2,8.469395638E0,1.097707391E0,4.657629490E0
4.249578500E-2,8.446065903E0,1.126421213E0,4.695316315E0
6.054015600E-2,8.431708336E0,1.068993568E0,4.805984497E0
7.856975800E-2,8.469395638E0,1.049252748E0,4.838885784E0
9.659716400E-2,8.498109818E0,1.077966571E0,4.800600529E0
1.146232260E-1,8.512466431E0,1.097109199E0,4.733601570E0
1.326509960E-1,8.493324280E0,1.121635556E0,4.690530777E0
1.506815140E-1,8.436494827E0,1.112662554E0,4.719244480E0
1.687084920E-1,8.493324280E0,1.097109199E0,4.781457901E0
1.867376660E-1,8.436494827E0,1.068993568E0,4.810171604E0
2.047665970E-1,8.459824562E0,1.054636598E0,4.786841869E0
2.227967480E-1,8.493324280E0,1.054038405E0,4.810171604E0
2.408247630E-1,8.469993591E0,1.111466169E0,4.838885784E0
2.588539990E-1,8.475378036E0,1.188036442E0,4.781457901E0
2.768818310E-1,8.475378036E0,1.178465128E0,4.709673405E0
2.949119830E-1,8.431708336E0,1.107278705E0,4.776672363E0
3.129400590E-1,8.392825127E0,1.031306505E0,4.834698200E0
3.309688680E-1,8.459226608E0,9.780662656E-1,4.868197441E0
3.489976150E-1,8.634500504E0,9.667003751E-1,4.786243439E0
3.670272780E-1,8.568099976E0,1.000798106E0,4.758127689E0
3.850554150E-1,8.564510345E0,1.101296663E0,4.728815556E0
4.030850170E-1,8.707481384E0,1.113858938E0,4.723432064E0
4.211130940E-1,8.726624489E0,1.141974568E0,4.713860512E0
4.391428790E-1,8.428717613E0,1.188036442E0,4.934000492E0
4.571704670E-1,8.391031265E0,1.222134113E0,4.900500774E0
4.751995190E-1,8.381459236E0,1.270588875E0,4.766502857E0
4.932285720E-1,8.337790489E0,1.228116274E0,4.704887390E0
5.112585400E-1,8.461020470E0,1.173679471E0,4.781457901E0
5.292872890E-1,8.294121742E0,1.118644595E0,4.767699242E0
5.473164020E-1,8.356932640E0,1.160519004E0,4.834099770E0
5.653438070E-1,8.537590981E0,1.196411371E0,4.828716278E0
5.833736530E-1,8.561519623E0,1.191625714E0,4.809573650E0
6.014013630E-1,8.556135178E0,1.162911773E0,4.795216560E0
6.194307210E-1,8.593822479E0,1.148554921E0,4.714458942E0
6.374592240E-1,8.607581139E0,1.124626637E0,4.666602135E0
6.554890700E-1,8.550153732E0,1.096511006E0,4.666602135E0
6.735173900E-1,8.507680893E0,1.111466169E0,4.685744762E0
6.915471760E-1,8.498707771E0,1.144965649E0,4.733601570E0
7.095748250E-1,8.499305725E0,1.178465128E0,4.728815556E0
7.276024740E-1,8.536993027E0,1.201795220E0,4.690530777E0
7.456198690E-1,8.461619377E0,1.226321578E0,4.724030018E0
7.636487990E-1,8.428717613E0,1.241276741E0,4.761716843E0
7.816904860E-1,8.481359482E0,1.255035520E0,4.771288395E0
7.997225290E-1,8.461619377E0,1.235892892E0,4.742574692E0
8.177512770E-1,8.480163574E0,1.197607756E0,4.771288395E0
8.357780110E-1,8.499305725E0,1.197607756E0,4.719244480E0
8.538064530E-1,8.437690735E0,1.202991605E0,4.776672363E0
8.718358110E-1,8.528617859E0,1.230509043E0,4.761716843E0
8.898635210E-1,8.508877754E0,1.187438250E0,4.771288395E0
9.078929400E-1,8.546564102E0,1.158724308E0,4.761716843E0
9.259211990E-1,8.498707771E0,1.168893814E0,4.762315273E0
9.439511670E-1,8.509475708E0,1.230509043E0,4.790431023E0
9.619750930E-1,8.480761528E0,1.240678549E0,4.747360229E0
9.799937090E-1,8.394619942E0,1.203589797E0,4.747958183E0
9.980368000E-1,8.409575462E0,1.202991605E0,4.786243439E0
1.016063960E0,8.542376518E0,1.235294700E0,4.723432064E0
1.034084895E0,8.528019905E0,1.235294700E0,4.728217602E0
1.052123348E0,8.466404915E0,1.221535921E0,4.771288395E0
1.070152034E0,8.442476273E0,1.212562919E0,4.781457901E0
1.088185481E0,8.495118141E0,1.230509043E0,4.766502857E0
1.106210322E0,8.589634895E0,1.239482164E0,4.694717884E0
1.124240047E0,8.461619377E0,1.221535921E0,4.714458942E0
1.142267696E0,8.418548584E0,1.208375454E0,4.685744762E0
1.160298091E0,8.499305725E0,1.202393413E0,4.695316315E0
1.178325923E0,8.508877754E0,1.220937729E0,4.723432064E0
1.196354244E0,8.547162056E0,1.244866014E0,4.713860512E0
1.214381710E0,8.666205406E0,1.271785259E0,4.637290478E0
1.232408504E0,8.456234932E0,1.212562919E0,4.657031059E0
1.250440913E0,8.456833839E0,1.245464206E0,4.719244480E0
1.268472591E0,8.471788406E0,1.269392371E0,4.733003139E0
1.286507747E0,8.523832321E0,1.249651670E0,4.699503899E0
1.304528621E0,8.537590981E0,1.240080357E0,4.675575256E0
1.322556087E0,8.504690170E0,1.240678549E0,4.680361271E0
1.340583492E0,8.519046783E0,1.268794179E0,4.661218643E0
1.358614070E0,8.571090698E0,1.268195987E0,4.622933388E0
1.376644100E0,8.514261246E0,1.249651670E0,4.704289436E0
1.394672053E0,8.437690735E0,1.222134113E0,4.752744198E0
1.412702571E0,8.528617859E0,1.249651670E0,4.728217602E0
1.430730037E0,8.523832321E0,1.268794179E0,4.656432629E0
1.448759578E0,8.590232849E0,1.282552958E0,4.594219685E0
1.466786739E0,8.627322197E0,1.244267821E0,4.532006264E0
1.484816097E0,8.541778564E0,1.231107235E0,4.551746845E0
1.502844966E0,8.499305725E0,1.245464206E0,4.613960266E0
1.520868037E0,8.532805443E0,1.259222865E0,4.670789719E0
1.538875789E0,8.571090698E0,1.268195987E0,4.675575256E0
1.556932796E0,8.562117577E0,1.306481123E0,4.685146809E0
1.574961055E0,8.548358917E0,1.325623751E0,4.694717884E0
1.592997371E0,8.366504669E0,1.252044439E0,4.676173687E0
1.611018062E0,8.514261246E0,1.278365493E0,4.689932346E0
1.629046688E0,8.547760963E0,1.283151150E0,4.670789719E0
1.647075435E0,8.580661774E0,1.296909928E0,4.618147850E0
1.665105708E0,8.590232849E0,1.301695466E0,4.570291042E0
1.683133967E0,8.590232849E0,1.301695466E0,4.570291042E0
1.701164058E0,8.585447311E0,1.296909928E0,4.622933388E0
1.719191707E0,8.590232849E0,1.268195987E0,4.622933388E0
1.737221248E0,8.608778000E0,1.277767301E0,4.584648132E0
1.755248653E0,8.623134613E0,1.287338614E0,4.488935471E0
1.773277583E0,8.604590416E0,1.296909928E0,4.517649174E0
1.791306941E0,8.519046783E0,1.293320656E0,4.566103935E0
1.809336726E0,8.533403397E0,1.307677627E0,4.518247128E0
1.827364926E0,8.595617294E0,1.335195065E0,4.536791801E0
1.845394588E0,8.618947029E0,1.325623751E0,4.517649174E0
1.863422420E0,8.585447311E0,1.316052437E0,4.532006264E0
1.881452266E0,8.604590416E0,1.311266780E0,4.488935471E0
1.899479976E0,8.623732567E0,1.320838094E0,4.455435753E0
1.917508846E0,8.618947029E0,1.344766378E0,4.465006828E0
1.935537898E0,8.638090134E0,1.353739381E0,4.455435753E0
1.953567806E0,8.638090134E0,1.344766378E0,4.426722050E0
1.971596553E0,8.618947029E0,1.335195065E0,4.436293125E0
1.989625728E0,8.666205406E0,1.339382529E0,4.417150497E0
2.007654170E0,8.694919586E0,1.333998680E0,4.450650215E0
2.025683223E0,8.618349075E0,1.320838094E0,4.432105541E0
2.043710750E0,8.627920151E0,1.320838094E0,4.408177376E0
2.061739803E0,8.661419868E0,1.334596872E0,4.412364960E0
2.079768550E0,8.661419868E0,1.348953724E0,4.412364960E0
