Geschlecht,Alter,Wohnort,Ziel hoehere Bildung,Ausbildung der Mutter,Ausbildung des Vaters,woechentliche Lernzeit in h,Nachhilfe,Alkoholkonsum werktags,Alkoholkonsum am Wochenende,Feiern gehen,Freizeit nach der Schule,in einer Beziehung,Note
weiblich,18.0,,ja,"hoehere Bildung (Ausbildung, Studium, ...)","hoehere Bildung (Ausbildung, Studium, ...)",2.0,ja,sehr niedrig,sehr niedrig,viel,moderat,nein,durchgefallen
weiblich,17.0,Stadt,ja,Grundschule,Grundschule,2.0,nein,sehr niedrig,sehr niedrig,moderat,moderat,nein,durchgefallen
weiblich,15.0,Stadt,ja,Grundschule,Grundschule,2.0,ja,niedrig,moderat,wenig,moderat,nein,befriedigend - ausreichend
weiblich,15.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)",5.-9. Klasse,3.0,nein,sehr niedrig,sehr niedrig,wenig,wenig,ja,sehr gut - gut
weiblich,16.0,Stadt,ja,ab der 9. Klasse,ab der 9. Klasse,2.0,nein,sehr niedrig,niedrig,wenig,moderat,nein,befriedigend - ausreichend
maennlich,16.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)",ab der 9. Klasse,2.0,nein,sehr niedrig,niedrig,wenig,viel,nein,sehr gut - gut
weiblich,17.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)","hoehere Bildung (Ausbildung, Studium, ...)",2.0,ja,sehr niedrig,sehr niedrig,viel,sehr wenig,nein,durchgefallen
maennlich,15.0,Stadt,ja,ab der 9. Klasse,5.-9. Klasse,2.0,nein,sehr niedrig,sehr niedrig,wenig,wenig,nein,sehr gut - gut
maennlich,15.0,Stadt,ja,ab der 9. Klasse,"hoehere Bildung (Ausbildung, Studium, ...)",2.0,nein,sehr niedrig,sehr niedrig,sehr wenig,sehr viel,nein,sehr gut - gut
weiblich,15.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)","hoehere Bildung (Ausbildung, Studium, ...)",2.0,nein,sehr niedrig,niedrig,moderat,moderat,nein,durchgefallen
weiblich,15.0,Stadt,ja,5.-9. Klasse,Grundschule,3.0,nein,sehr niedrig,sehr niedrig,wenig,wenig,nein,befriedigend - ausreichend
maennlich,15.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)","hoehere Bildung (Ausbildung, Studium, ...)",1.0,nein,sehr niedrig,moderat,moderat,moderat,nein,befriedigend - ausreichend
maennlich,15.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)",ab der 9. Klasse,2.0,nein,sehr niedrig,niedrig,moderat,viel,nein,befriedigend - ausreichend
weiblich,16.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)","hoehere Bildung (Ausbildung, Studium, ...)",1.0,nein,sehr niedrig,niedrig,viel,viel,nein,befriedigend - ausreichend
weiblich,16.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)","hoehere Bildung (Ausbildung, Studium, ...)",3.0,nein,sehr niedrig,niedrig,moderat,wenig,nein,befriedigend - ausreichend
weiblich,16.0,Stadt,ja,ab der 9. Klasse,ab der 9. Klasse,2.0,ja,sehr niedrig,sehr niedrig,wenig,moderat,nein,befriedigend - ausreichend
maennlich,17.0,Stadt,ja,ab der 9. Klasse,5.-9. Klasse,1.0,nein,niedrig,hoch,sehr viel,sehr viel,nein,durchgefallen
maennlich,16.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)",ab der 9. Klasse,1.0,nein,sehr niedrig,moderat,moderat,sehr wenig,nein,befriedigend - ausreichend
maennlich,16.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)",5.-9. Klasse,2.0,nein,sehr niedrig,moderat,sehr wenig,sehr viel,nein,sehr gut - gut
maennlich,16.0,Stadt,ja,5.-9. Klasse,5.-9. Klasse,2.0,nein,niedrig,hoch,viel,viel,nein,befriedigend - ausreichend
weiblich,15.0,Land,ja,5.-9. Klasse,"hoehere Bildung (Ausbildung, Studium, ...)",3.0,ja,sehr niedrig,sehr niedrig,wenig,moderat,nein,durchgefallen
weiblich,16.0,Stadt,ja,5.-9. Klasse,5.-9. Klasse,1.0,nein,sehr niedrig,moderat,wenig,wenig,nein,durchgefallen
maennlich,15.0,Stadt,ja,5.-9. Klasse,5.-9. Klasse,1.0,nein,sehr niedrig,niedrig,wenig,wenig,nein,befriedigend - ausreichend
maennlich,15.0,Stadt,ja,"hoehere Bildung (Ausbildung, Studium, ...)",5.-9. Klasse,1.0,nein,niedrig,hoch,viel,wenig,nein,sehr gut - gut
maennlich,16.0,Stadt,ja,ab der 9. Klasse,"hoehere Bildung (Ausbildung, Studium, ...)",2.0,ja,sehr niedrig,sehr niedrig,moderat,moderat,nein,befriedigend - ausreichend
