Geschlecht,Alter,Wohnort,Ziel hoehere Bildung,Ausbildung der Mutter,Ausbildung des Vaters,woechentliche Lernzeit in h,Nachhilfe,Alkoholkonsum werktags,Alkoholkonsum am Wochenende,Feiern gehen,Freizeit nach der Schule,in einer Beziehung,Note
0,17.0,0,1,1,1,2.0,0,0,0,2,2,0,2
0,15.0,0,1,1,1,2.0,1,1,2,1,2,0,1
0,15.0,0,1,4,0,3.0,0,0,0,1,1,1,0
0,16.0,0,1,3,2,2.0,0,0,1,1,2,0,1
1,16.0,0,1,4,2,2.0,0,0,1,1,3,0,0
0,17.0,0,1,4,3,2.0,1,0,0,3,0,0,2
1,15.0,0,1,3,0,2.0,0,0,0,1,1,0,0
1,15.0,0,1,3,3,2.0,0,0,0,0,4,0,0
0,15.0,0,1,4,3,2.0,0,0,1,2,2,0,2
0,15.0,0,1,2,1,3.0,0,0,0,1,1,0,1
1,15.0,0,1,4,3,1.0,0,0,2,2,2,0,1
1,15.0,0,1,4,2,2.0,0,0,1,2,3,0,1
0,16.0,0,1,4,3,1.0,0,0,1,3,3,0,1
0,16.0,0,1,4,3,3.0,0,0,1,2,1,0,1
0,16.0,0,1,3,2,2.0,1,0,0,1,2,0,1
1,17.0,0,1,3,0,1.0,0,1,3,4,4,0,2
1,16.0,0,1,4,2,1.0,0,0,2,2,0,0,1
1,16.0,0,1,4,0,2.0,0,0,2,0,4,0,0
1,16.0,0,1,2,0,2.0,0,1,3,3,3,0,1
0,15.0,1,1,2,3,3.0,1,0,0,1,2,0,2
0,16.0,0,1,2,0,1.0,0,0,2,1,1,0,2
1,15.0,0,1,2,0,1.0,0,0,1,1,1,0,1
1,15.0,0,1,4,0,1.0,0,1,3,3,1,0,0
1,16.0,0,1,3,3,2.0,1,0,0,2,2,0,1
1,16.0,0,1,4,3,2.0,0,4,4,4,3,1,1
1,15.0,0,1,4,3,2.0,0,0,0,0,2,0,0
1,16.0,0,1,3,0,1.0,0,0,0,2,3,0,0
0,15.0,0,1,2,2,1.0,0,0,0,0,4,0,2
1,15.0,0,1,4,2,3.0,0,0,0,2,3,0,0
1,16.0,1,1,4,3,3.0,0,0,0,2,3,1,0
